Estimators,Acc Depth 4,AUC Depth 4
1,0.765295,0.186307
2,0.800864,0.126512
3,0.813514,0.100254
4,0.838374,0.0862202
5,0.854468,0.0852379
6,0.871251,0.0766472
7,0.887282,0.0718997
8,0.883086,0.06773
9,0.881959,0.068881
10,0.886655,0.0654191
11,0.889348,0.0631209
12,0.890287,0.0614416
13,0.888346,0.0615178
14,0.892103,0.0601854
15,0.891853,0.0590088
